,flight,player,segment,capacity,flight_pax,pax_per_iti,depart_time,load_factor
55,AS56,AS,"('SEA', 'LAX')",144,143.99998251484706,"(142.62062343955324, 1.3793590752938132)","[1195, 810]",0.9999998785753268
56,AS57,AS,"('SEA', 'LAX')",124,123.99998927728424,"(123.99998927728424,)",[1255],0.9999999135264859
57,AS58,AS,"('SEA', 'LAX')",124,123.99998926713806,"(123.99998926713806,)",[1295],0.9999999134446618
58,AS59,AS,"('SEA', 'LAX')",72,71.99997922184636,"(70.19780186746283, 1.8021773543835298)","[1315, 1005]",0.9999997114145328
59,AS60,AS,"('SEA', 'PDX')",72,71.99998651693305,"(71.99998651693305, 0.0, 0.0, 0.0)","[1350, 1005, 1120, 1145]",0.9999998127351812
60,OT1,others,"('ANC', 'LAX')",72,44.30983840342718,"(44.30983840342718,)",[1430],0.6154144222698219
61,OT2,others,"('ANC', 'PDX')",72,51.82570484404377,"(51.82570484404377,)",[720],0.7198014561672745
62,OT3,others,"('ANC', 'SEA')",124,73.12102128904341,"(71.92976273512826, 1.1912585539151523)","[45, 45]",0.5896856555568017
63,OT4,others,"('ANC', 'SEA')",124,76.26638251618246,"(76.26638251618246,)",[891],0.6150514719046972
64,OT5,others,"('LAX', 'ANC')",72,42.70788661357854,"(42.70788661357854,)",[1420],0.5931650918552575
65,OT6,others,"('LAX', 'PDX')",124,124.00011265474006,"(111.25491653071833, 12.745196124021732)","[575, 575]",1.0000009085059682
66,OT7,others,"('LAX', 'PDX')",124,124.00005580504846,"(124.00005580504846,)",[630],1.0000004500407134
67,OT8,others,"('LAX', 'PDX')",124,124.00010625990097,"(122.37221757843093, 1.6278886814700366)","[1175, 1175]",1.0000008569346852
68,OT9,others,"('LAX', 'PDX')",124,124.00005543595393,"(124.00005543595393,)",[1235],1.0000004470641446
69,OT10,others,"('LAX', 'SEA')",124,124.0000754275204,"(124.0000754275204,)",[480],1.0000006082864548
70,OT11,others,"('LAX', 'SEA')",124,124.00007397725864,"(124.00007397725864,)",[520],1.0000005965907954
71,OT12,others,"('LAX', 'SEA')",72,72.00008936489704,"(72.00008936489704,)",[580],1.0000012411791255
72,OT13,others,"('LAX', 'SEA')",124,124.00007420342438,"(124.00007420342438,)",[600],1.0000005984147127
73,OT14,others,"('LAX', 'SEA')",124,124.00007428766311,"(124.00007428766311,)",[770],1.0000005990940573
74,OT15,others,"('LAX', 'SEA')",124,124.00012733567797,"(124.00007599714286, 5.1338535115519335e-05)","[875, 875]",1.0000010269006288
75,OT16,others,"('LAX', 'SEA')",124,124.00007536732699,"(124.00007536732699,)",[1130],1.0000006078010242
76,OT17,others,"('PDX', 'ANC')",72,49.88594449158339,"(48.25805581011335, 1.6278886814700366)","[1360, 1175]",0.6928603401608804
77,OT18,others,"('PDX', 'LAX')",124,124.00005517424367,"(124.00005517424367,)",[430],1.000000444953578
78,OT19,others,"('PDX', 'LAX')",124,124.00005622042647,"(124.00005622042647,)",[455],1.000000453390536
79,OT20,others,"('PDX', 'LAX')",124,124.00010876451572,"(124.00005699242794, 5.177208777240594e-05)","[762, 665]",1.0000008771331912
80,OT21,others,"('PDX', 'LAX')",124,124.00005680642548,"(124.00005680642548,)",[900],1.0000004581163344
81,OT22,others,"('PDX', 'SEA')",180,139.1714964921955,"(139.1714964921955,)",[360],0.7731749805121972
82,OT23,others,"('PDX', 'SEA')",72,72.00023151335512,"(57.60110934757383, 12.745196124021732, 1.653874090150146, 5.195160940729693e-05)","[775, 575, 775, 775]",1.0000032154632654
83,OT24,others,"('PDX', 'SEA')",72,72.00006859050077,"(72.00006859050077,)",[1199],1.000000952645844
