,player,market,depart_time,travel_time,price,pax,passenger_type,denominator,demand,connections
0,AS,"('ANC', 'SEA')",360,210,293.47895880913023,5.686316580876306,a,0.2,78.91812165120001,None
1,AS,"('ANC', 'SEA')",360,210,304.6020753652392,8.427179040611211,b,0.2,124.74920792640002,None
2,AS,"('ANC', 'SEA')",360,210,286.3572294271337,4.271175612885397,c,0.2,63.467650080000006,None
3,AS,"('ANC', 'SEA')",360,210,295.76264339063283,6.2652714419783635,d,0.2,100.15508191680001,None
4,AS,"('ANC', 'SEA')",360,210,287.9864414382647,4.697338330053009,e,0.2,72.62864472000001,None
5,AS,"('ANC', 'SEA')",360,210,304.39464755583344,8.967270144060365,f,0.2,145.6812942912,None
6,AS,"('ANC', 'SEA')",420,205,293.4798319319579,5.686500477571319,a,0.2,78.91812165120001,None
7,AS,"('ANC', 'SEA')",420,205,305.1851317273035,8.724810943733946,b,0.2,124.74920792640002,None
8,AS,"('ANC', 'SEA')",420,205,287.3866345400342,4.418369961151248,c,0.2,63.467650080000006,None
9,AS,"('ANC', 'SEA')",420,205,296.27748358396036,6.396963408060343,d,0.2,100.15508191680001,None
10,AS,"('ANC', 'SEA')",420,205,288.466308104232,4.775251392395285,e,0.2,72.62864472000001,None
11,AS,"('ANC', 'SEA')",420,205,304.6532411129025,9.126540726070495,f,0.2,145.6812942912,None
12,AS,"('ANC', 'SEA')",600,200,292.2342753839974,5.43340502536721,a,0.2,78.91812165120001,None
13,AS,"('ANC', 'SEA')",600,200,305.18569155975547,8.725111638100639,b,0.2,124.74920792640002,None
14,AS,"('ANC', 'SEA')",600,200,289.65020450704657,4.763099122154693,c,0.2,63.467650080000006,None
15,AS,"('ANC', 'SEA')",600,200,297.61927953164184,6.766647681780029,d,0.2,100.15508191680001,None
16,AS,"('ANC', 'SEA')",600,200,289.1349746787919,4.886565526292389,e,0.2,72.62864472000001,None
17,AS,"('ANC', 'SEA')",600,200,304.9090742963363,9.293406778738825,f,0.2,145.6812942912,None
18,AS,"('ANC', 'SEA')",660,205,291.42456692890244,5.277980852311941,a,0.2,78.91812165120001,None
19,AS,"('ANC', 'SEA')",660,205,304.5010690907116,8.378518631831847,b,0.2,124.74920792640002,None
20,AS,"('ANC', 'SEA')",660,205,289.3476001379585,4.715177192382352,c,0.2,63.467650080000006,None
21,AS,"('ANC', 'SEA')",660,205,297.75208360008963,6.805576146259901,d,0.2,100.15508191680001,None
22,AS,"('ANC', 'SEA')",660,205,288.8906508052229,4.845510196690985,e,0.2,72.62864472000001,None
23,AS,"('ANC', 'SEA')",660,205,304.67246020208984,9.138740632165824,f,0.2,145.6812942912,None
24,AS,"('ANC', 'SEA')",810,205,291.05565370546947,5.209322507851275,a,0.2,78.91812165120001,None
25,AS,"('ANC', 'SEA')",810,205,303.59065383892136,7.972172195672485,b,0.2,124.74920792640002,None
26,AS,"('ANC', 'SEA')",810,205,288.3731979167563,4.564836374237867,c,0.2,63.467650080000006,None
27,AS,"('ANC', 'SEA')",810,205,298.7389574614917,7.110276966945161,d,0.2,100.15508191680001,None
28,AS,"('ANC', 'SEA')",810,205,290.0796716399244,5.049691224818574,e,0.2,72.62864472000001,None
29,AS,"('ANC', 'SEA')",810,205,304.8180800510149,9.232921986247367,f,0.2,145.6812942912,None
30,AS,"('ANC', 'SEA')",1005,209,290.63197534306306,5.132035033346548,a,0.2,78.91812165120001,None
31,AS,"('ANC', 'SEA')",1005,209,302.9268975114772,7.706753206507946,b,0.2,124.74920792640002,None
32,AS,"('ANC', 'SEA')",1005,209,286.15281237405435,4.242586993455214,c,0.2,63.467650080000006,None
33,AS,"('ANC', 'SEA')",1005,209,297.57635927785225,6.754164016648796,d,0.2,100.15508191680001,None
34,AS,"('ANC', 'SEA')",1005,209,291.2625565502901,5.264647992866023,e,0.2,72.62864472000001,None
35,AS,"('ANC', 'SEA')",1005,209,305.37904223286074,9.628481283938877,f,0.2,145.6812942912,None
36,AS,"('ANC', 'SEA')",1080,199,291.5479766801061,5.301241574745641,a,0.2,78.91812165120001,None
37,AS,"('ANC', 'SEA')",1080,199,303.5731300100179,7.964861177473905,b,0.2,124.74920792640002,None
38,AS,"('ANC', 'SEA')",1080,199,286.81488244951004,4.335937528086719,c,0.2,63.467650080000006,None
39,AS,"('ANC', 'SEA')",1080,199,297.6968026841767,6.789316031650092,d,0.2,100.15508191680001,None
40,AS,"('ANC', 'SEA')",1080,199,292.01397192085034,5.4080815653858165,e,0.2,72.62864472000001,None
41,AS,"('ANC', 'SEA')",1080,199,306.14897229677854,10.285522765286055,f,0.2,145.6812942912,None
42,AS,"('ANC', 'SEA')",1310,202,291.2736945868348,5.249745105529658,a,0.2,78.91812165120001,None
43,AS,"('ANC', 'SEA')",1310,202,303.3664693547487,7.879935627699725,b,0.2,124.74920792640002,None
44,AS,"('ANC', 'SEA')",1310,202,286.30669696319524,4.264089278403581,c,0.2,63.467650080000006,None
45,AS,"('ANC', 'SEA')",1310,202,296.42994082848446,6.436967989099716,d,0.2,100.15508191680001,None
46,AS,"('ANC', 'SEA')",1310,202,289.61365472208263,4.968329082328068,e,0.2,72.62864472000001,None
47,AS,"('ANC', 'SEA')",1310,202,306.07125401805723,10.21136826848059,f,0.2,145.6812942912,None
48,AS,"('ANC', 'LAX')",1430,319,201.80293061285826,5.993418731758443,a,0.2,29.3247665152,None
49,AS,"('ANC', 'LAX')",1430,319,195.82350172748951,9.625342530981792,b,0.2,46.3548969344,None
50,AS,"('ANC', 'LAX')",1430,319,205.91399585609804,4.737153168917011,c,0.2,23.58360768,None
